time	V(out)	I(Bat)
1.585444440696807e-006	2.827280e+001	-5.601045e-004
1.585918480485144e-006	2.827280e+001	-5.600851e-004
1.586290364291466e-006	2.827280e+001	-5.600698e-004
1.586568682287453e-006	2.827280e+001	-5.600585e-004
1.586854195442828e-006	2.827280e+001	-5.600468e-004
1.587224950702369e-006	2.827280e+001	-5.600316e-004
1.587653729647571e-006	2.827280e+001	-5.600141e-004
1.588245803594578e-006	2.827280e+001	-5.599899e-004
1.588536420100595e-006	2.827280e+001	-5.599780e-004
1.588870808786127e-006	2.827280e+001	-5.599643e-004
1.589200522783619e-006	2.827280e+001	-5.599508e-004
1.589640088779438e-006	2.827280e+001	-5.599328e-004
1.590134410312868e-006	2.827280e+001	-5.599125e-004
1.590451226564065e-006	2.827280e+001	-5.598996e-004
1.590734564925598e-006	2.827280e+001	-5.598880e-004
1.591032477700802e-006	2.827280e+001	-5.598758e-004
1.591419674887465e-006	2.827280e+001	-5.598600e-004
1.591863340670126e-006	2.827280e+001	-5.598419e-004
1.592327932115248e-006	2.827280e+001	-5.598229e-004
1.592591629933416e-006	2.827280e+001	-5.598122e-004
1.592927809303425e-006	2.827280e+001	-5.597984e-004
1.593237854533785e-006	2.827280e+001	-5.597858e-004
1.593681079853570e-006	2.827280e+001	-5.597676e-004
1.594146220602863e-006	2.827280e+001	-5.597486e-004
1.594497281607898e-006	2.827280e+001	-5.597342e-004
1.594772037630361e-006	2.827280e+001	-5.597230e-004
1.595053061793299e-006	2.827280e+001	-5.597115e-004
1.595425150261442e-006	2.827280e+001	-5.596963e-004
1.595851102955281e-006	2.827280e+001	-5.596789e-004
1.596439958172347e-006	2.827280e+001	-5.596550e-004
1.596727727376581e-006	2.827280e+001	-5.596432e-004
1.597076116714510e-006	2.827280e+001	-5.596289e-004
1.597398640025330e-006	2.827280e+001	-5.596158e-004
1.597845266366655e-006	2.827280e+001	-5.595975e-004
1.598328546809189e-006	2.827280e+001	-5.595778e-004
1.598644519170134e-006	2.827280e+001	-5.595649e-004
1.598924116066283e-006	2.827280e+001	-5.595534e-004
1.599216626439260e-006	2.827280e+001	-5.595415e-004
1.599600738438007e-006	2.827280e+001	-5.595259e-004
1.600039084918629e-006	2.827280e+001	-5.595080e-004
1.600525305018956e-006	2.827280e+001	-5.594882e-004
1.600790650614988e-006	2.827280e+001	-5.594774e-004
1.601096769013078e-006	2.827280e+001	-5.594649e-004
1.601410926346694e-006	2.827280e+001	-5.594520e-004
1.601833718851276e-006	2.827280e+001	-5.594348e-004
1.602302337648162e-006	2.827280e+001	-5.594157e-004
1.602683191612064e-006	2.827280e+001	-5.594001e-004
1.602958006145092e-006	2.827280e+001	-5.593889e-004
1.603234567247033e-006	2.827280e+001	-5.593777e-004
1.603600692628640e-006	2.827280e+001	-5.593628e-004
1.604021180471361e-006	2.827280e+001	-5.593456e-004
1.604583791188193e-006	2.827280e+001	-5.593227e-004
1.604855115059455e-006	2.827280e+001	-5.593117e-004
1.605145525900365e-006	2.827280e+001	-5.592998e-004
1.605453051939076e-006	2.827280e+001	-5.592873e-004
1.605858326044777e-006	2.827280e+001	-5.592707e-004
1.606315115432837e-006	2.827280e+001	-5.592521e-004
1.606745371951320e-006	2.827280e+001	-5.592346e-004
1.607019518079521e-006	2.827280e+001	-5.592234e-004
1.607279653830577e-006	2.827280e+001	-5.592128e-004
1.607636753893681e-006	2.827280e+001	-5.591983e-004
1.608041226495498e-006	2.827280e+001	-5.591818e-004
1.608573552438194e-006	2.827280e+001	-5.591602e-004
1.608867303413067e-006	2.827280e+001	-5.591483e-004
1.609135732567593e-006	2.827280e+001	-5.591373e-004
1.609411655799045e-006	2.827280e+001	-5.591261e-004
1.609789533547576e-006	2.827280e+001	-5.591107e-004
1.610212843365780e-006	2.827280e+001	-5.590934e-004
1.610677843433347e-006	2.827280e+001	-5.590745e-004
1.610950603019035e-006	2.827280e+001	-5.590634e-004
1.611228421958832e-006	2.827280e+001	-5.590521e-004
1.611518612312823e-006	2.827280e+001	-5.590403e-004
1.611912260975009e-006	2.827280e+001	-5.590243e-004
1.612350497267097e-006	2.827280e+001	-5.590065e-004
1.612809571383880e-006	2.827280e+001	-5.589878e-004
1.613069680421486e-006	2.827280e+001	-5.589772e-004
1.613372036490310e-006	2.827280e+001	-5.589650e-004
1.613682577171983e-006	2.827280e+001	-5.589523e-004
1.614103378327719e-006	2.827280e+001	-5.589352e-004
1.614567311359902e-006	2.827280e+001	-5.589163e-004
1.614955259356249e-006	2.827280e+001	-5.589005e-004
1.615227357791636e-006	2.827280e+001	-5.588895e-004
1.615495625314689e-006	2.827280e+001	-5.588786e-004
1.615858246898530e-006	2.827280e+001	-5.588639e-004
1.616271458931433e-006	2.827280e+001	-5.588471e-004
1.616817370291980e-006	2.827280e+001	-5.588249e-004
1.617080243321777e-006	2.827280e+001	-5.588143e-004
1.617350846152371e-006	2.827280e+001	-5.588033e-004
1.617633916694375e-006	2.827280e+001	-5.587917e-004
1.618021891823470e-006	2.827280e+001	-5.587760e-004
1.618452770911794e-006	2.827280e+001	-5.587584e-004
1.618907659631599e-006	2.827280e+001	-5.587399e-004
1.619156006848281e-006	2.827280e+001	-5.587299e-004
1.619436122288016e-006	2.827280e+001	-5.587185e-004
1.619728718812251e-006	2.827280e+001	-5.587066e-004
1.620131720344627e-006	2.827280e+001	-5.586903e-004
1.620573614878806e-006	2.827280e+001	-5.586724e-004
1.620999999696285e-006	2.827280e+001	-5.586551e-004
1.621255938071347e-006	2.827280e+001	-5.586447e-004
1.621559541567972e-006	2.827280e+001	-5.586324e-004
1.621869176122348e-006	2.827280e+001	-5.586198e-004
1.622292199196516e-006	2.827280e+001	-5.586026e-004
1.622755485607436e-006	2.827280e+001	-5.585838e-004
1.623138185523247e-006	2.827280e+001	-5.585682e-004
1.623408936337620e-006	2.827280e+001	-5.585572e-004
1.623674729840470e-006	2.827280e+001	-5.585465e-004
1.624037176422174e-006	2.827280e+001	-5.585318e-004
